Title,PlotSummary
The Cyclops,"Test pilot Bruce Barton (Duncan Parkin) is missing and his girlfriend, Susan Winter (Gloria Talbott) organizes a search party, sent out in the jungles of Mexico. The team of scientist Russ Bradford (James Craig), mining expert Martin ""Marty"" Melville (Lon Chaney Jr.) and pilot Lee Brand (Tom Drake) fly into an unknown territory. While searching the area, they uncover giant mutated earth animals such as giant snakes, lizards, behemoth bugs and oversized mammals."
Cleopatra,"In 48 BC, Cleopatra vies with her brother Ptolemy for control of Egypt. Marc Antony and Octavian are named co-rulers of Rome. Antony invites her to meet with him in Tarsus, intending to bring her back to Rome as a captive. She entices him to her barge and throws a party with exotic animals and beautiful dancers, and soon bewitches him. She tests a poison on a condemned murderer to see how it works and kills Antony."
Tu Hi Re,"Nandini (Sai Tamhankar) is someone who is a staunch believer in love marriages but following her father's orders, she gets married to Siddharth (Swwapnil Joshi) who is coping with heartbreak. Kamlakar Bhanushali (Girish Oak) is a politician who has some connection with Siddarth's past."
The Guilt of Janet Ames,"Bitter war widow seeks out the five soldiers for whom her husband gave his life by falling on a hand grenade during the Battle of the Bulge. While crossing a city street to find the first, she is struck and knocked unconscious by an automobile. The police find no identification on her, only a list of names. One recognizes the last name on her list, a reporter recently fired for alcoholism, and contacts Smitty Cobb. When Smitty sees the list, he realizes who she must be and finds her in a wheelchair, unable to walk."
The Big Boodle,"A blackjack dealer in a Havana casino is given some counterfeit peso bills by a woman. He confronts the woman with the fact they are counterfeit, but she denies it and leaves. Two thugs attack Ned on his way home, but run off when the police are summoned. He is accused of being involved in a plan to flood Cuba with worthless currency. He meets with a young woman, Anita Ferrer, who believes he has the bills and offers to buy them."
Blues Harp,"Ambitious yakuza Kenji befriends harmonica-playing bartender Chuji, who moonlights as a part-time drug-dealer for the opposing gang. Their friendship is threatened by Kenji's plans for advancement as well as his bodyguards' growing jealousy of Chuji."
Lakshyam,The film starts with a flashback in Hyderabad. ACP Bose is a sincere police officer happily married and lives with his parents and younger brother Chandu (Gopichand) Chandu is a college student and he falls in love with his classmate Indu (Anushka)
BASEketball,"Joe ""Coop"" Cooper and Doug Remer are 23 and unemployed when BASEketball becomes popular in their neighborhood. Five years later, the NBL is in full swing with teams, fans, stadiums, and a major championship, the Denslow Cup, hosted by Al Michaels and Bob Costas. Coop declares Remer part owner of the team, and they come to meet Jenna Reed, head of the Dream Come True Foundation, and Joey, one of the children in her care."
Yatterman,"In Tokyoko, a fictional city sporting various homages of Tatsunoko Production works, the Doronbo Gang have seemingly destroyed a large part of the city. The heroic Yatterman duo make their entrance with Yatterwoof (Yamadera, voice), a sentient dog-shaped mecha and Toybotty (Takahashi, voice) Gan Takada and Ai Kaminari live a double life as crime-fighting heroes. They are based under Takada Toys, founded by Gan's father. The girl they found in the ruins was Shoko Kaieda, daughter of Dr"
Helen of Troy,"The film retells the story of the Trojan War in 1100 B.C., albeit with some major changes from the Iliad's storyline. Paris of Troy (Jacques Sernas) sails to Sparta to secure a peace treaty between the two powerful city-states. He is found by Helen, queen of Sparta, with whom he falls in love."
The Triumph of Sherlock Holmes,"Holmes and Dr. Watson come out of retirement to investigate a mysterious murder. They find that an American criminal organisation called The Scowrers has asked evil mastermind Professor Moriarty to wreak vengeance on John Douglas, the informant who sent them to prison. Holmes outsmarts Moriarty, solves the murder and brings him to justice. Like all the films featuring Wontner as Holmes, this one has a contemporary setting."
Rancho Deluxe,"Jack McKee and Cecil Colson are a couple of young, restless rustlers. They have begun rustling cattle, cutting them up with a chainsaw and paying bills with fresh meat. The rustling of his livestock lights a fire under rancher John Brown, who sends Burt and Curt up in a helicopter to try to catch the thieves in the act. Jack and Cecil continue to single out Brown's cattle, even kidnapping his $50,000 prize bull, ""Basehart of Bozeman Canyon"""
Losin' It,"Four teenagers from late 1950s Los Angeles are on their way to Tijuana, Mexico. Dave, Woody, Spider, and Spider are there to lose their virginity. They end up picking up a woman named Kathy, who goes with them because she wants a fast divorce from her husband."
Meet Maxwell Archer,"Private detective attempts to clear a young man wrongly accused of murder. Maxwell Archer is a private detective who tries to clear the wrong man. The case is set to be shown in a new series of American Horror Horror Horror Films, directed by Stephen King at 8pm on BBC One."
Robin and Marian,"An aging Robin Hood is a trusted captain fighting for King Richard the Lionheart in France. He is mortally wounded by an arrow thrown by an old man. After Richard's death, Robin and Little John return to England and are reunited with old friends Will Scarlet and Friar Tuck in Sherwood Forest."
Mogudu Kaavali,"Krishna (Gayatri) is inherited with lots of wealth from her father, but he imposes a condition that she should marry in order to inherit that wealth. Krishna doesn’t want to marry a prince who might later turn out to be a toad. So, she hires Chiru as her hire husband and tries to get all her father’s wealth."
Michael and Mary,"Young bride (Edna Best) is deserted by her husband but finds happiness with another man. They contract a bigamous marriage for the sake of their child (Frank Lawton) The first husband turns up and starts black-mailing them. During a quarrel with the second husband, he dies. After some complications, their son learns the truth, but stands by them."
Intimate Confessions Of A Chinese Courtesan,"The Shaw Brothers classic is regarded as one of the most outrageous and taboo-smashing Shaw Brothers classics. Young Ai Nu is abducted and sold to the Four Seasons brothel run by lusty madam Chun Yi. Soon murder erupts within the brothel, and a policeman must race against time to prevent a vicious revenge plot from reaching its blood-spattered conclusion."
Predators,"Royce awakens to find himself parachuting into an unfamiliar jungle. He meets several others who arrived in the same manner. They find themselves staring at an alien sky and realize they are not on Earth. Royce deduces they are on a planet used as a game preserve, where humans are hunted as game."
